id_node	sensor	timestamp	valor_v
AQM60	PM10	2017-05-11 13:48:58	28,56
AQM60	PM10	2017-05-11 13:50:58	26541
AQM60	PM10	2017-05-11 13:52:58	25241
AQM60	PM10	2017-05-11 13:54:58	24,56
AQM60	PM10	2017-05-11 13:56:58	21878
AQM60	PM10	2017-05-11 13:58:58	31352
AQM60	PM10	2017-05-11 14:00:58	30574
AQM60	PM10	2017-05-11 14:06:59	22393
AQM60	PM10	2017-05-11 14:08:59	17217
AQM60	PM10	2017-05-11 14:10:59	16917
AQM60	PM10	2017-05-11 14:12:59	27343
AQM60	PM10	2017-05-11 14:14:59	32546
AQM60	PM10	2017-05-11 14:16:59	27125
AQM60	PM10	2017-05-11 14:18:59	27125
AQM60	PM10	2017-05-11 14:20:59	24864
AQM60	PM10	2017-05-11 14:22:59	21957
AQM60	PM10	2017-05-11 14:24:59	21037
AQM60	PM10	2017-05-11 14:26:59	16052
AQM60	PM10	2017-05-11 14:28:59	19775
AQM60	PM10	2017-05-11 14:30:59	23331
AQM60	PM10	2017-05-11 14:32:59	27125
AQM60	PM10	2017-05-11 14:34:59	23,68
AQM60	PM10	2017-05-11 14:36:59	20633
AQM60	PM10	2017-05-11 14:38:59	20471
AQM60	PM10	2017-05-11 14:40:59	21037
AQM60	PM10	2017-05-11 14:42:59	19734
AQM60	PM10	2017-05-11 14:44:59	32,25
AQM60	PM10	2017-05-11 14:46:59	28666
AQM60	PM10	2017-05-11 14:48:59	22707
AQM60	PM10	2017-05-11 14:50:59	22629
AQM60	PM10	2017-05-11 14:52:59	23949
AQM60	PM10	2017-05-11 14:54:59	29333
AQM60	PM10	2017-05-11 14:56:59	16009
AQM60	PM10	2017-05-11 14:58:59	25278
AQM60	PM10	2017-05-11 15:00:59	22,55
AQM60	PM10	2017-05-11 15:02:59	21519
AQM60	PM10	2017-05-11 15:06:58	23409
AQM60	PM10	2017-05-11 15:08:58	18948
AQM60	PM10	2017-05-11 15:10:58	24636
AQM60	PM10	2017-05-11 15:12:58	39,43
AQM60	PM10	2017-05-11 15:14:58	25015
AQM60	PM10	2017-05-11 15:16:58	24294
AQM60	PM10	2017-05-11 15:18:58	27234
AQM60	PM10	2017-05-11 15:20:58	30506
AQM60	PM10	2017-05-11 15:22:58	17728
AQM60	PM10	2017-05-11 15:24:58	18572
AQM60	PM10	2017-05-11 15:26:58	22629
AQM60	PM10	2017-05-11 15:28:58	19404
AQM60	PM10	2017-05-11 15:30:58	16313
AQM60	PM10	2017-05-11 15:32:58	17003
AQM60	PM10	2017-05-11 15:34:58	22589
AQM60	PM10	2017-05-11 15:36:58	35318
AQM60	PM10	2017-05-11 15:38:58	37,14
AQM60	PM10	2017-05-11 15:40:58	25241
AQM60	PM10	2017-05-11 15:42:58	27016
AQM60	PM10	2017-05-11 15:44:58	29784
AQM60	PM10	2017-05-11 15:46:58	39851
AQM60	PM10	2017-05-11 15:48:58	30,88
AQM60	PM10	2017-05-11 15:50:58	29437
AQM60	PM10	2017-05-11 15:52:58	35995
AQM60	PM10	2017-05-11 15:54:58	20836
AQM60	PM10	2017-05-11 15:56:58	24064
AQM60	PM10	2017-05-11 15:58:58	25316
AQM60	PM10	2017-05-11 16:00:58	29542
AQM60	PM10	2017-05-11 16:02:58	29437
AQM60	PM10	2017-05-11 16:04:58	20552
AQM60	PM10	2017-05-11 16:07:16	24977
